User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
U00069,Aisha Khan,P3962,Male,46-55,32,Married,Dammam,South,Developer,Furniture,9,11591,,
U00070,Michael Ahmed,P5146,Female,46-55,56,Single,Delhi,East,Manager,Clothing,9,40540,,
U00071,David Johnson,P4128,Male,26-35,38,Married,New York,South,Teacher,Beauty,2,35272,,
U00072,Daniel Smith,P9532,Female,46-55,42,Single,Jeddah,North,Manager,Sports,1,32303,,
U00073,Sara Wilson,P6910,Male,55+,47,Married,Riyadh,Central,Engineer,Electronics,3,27626,,
U00074,Sara Johnson,P5232,Male,55+,49,Single,Texas,West,Teacher,Sports,7,22907,,
U00075,Ali Garcia,P6940,Female,18-25,40,Single,Medina,North,Manager,Beauty,2,18500,,
U00076,Aisha Ahmed,P6119,Female,36-45,38,Single,Makkah,East,Developer,Beauty,4,49621,,
U00077,Sara Brown,P7693,Female,26-35,58,Single,Jeddah,North,Engineer,Furniture,6,697,,
U00078,Ahmed Martinez,P4501,Female,55+,32,Single,Dammam,North,Accountant,Clothing,2,28735,,
U00079,Daniel Smith,P7933,Male,26-35,33,Married,New York,West,Developer,Electronics,10,48311,,
U00080,Mohammed Johnson,P5513,Male,36-45,37,Married,Texas,North,Student,Electronics,7,35818,,
U00081,Daniel Ahmed,P6356,Male,46-55,49,Single,Riyadh,West,Teacher,Groceries,2,49528,,
U00082,Emily Garcia,P6220,Female,36-45,26,Married,Texas,West,Engineer,Sports,4,30300,,
U00083,Emily Wilson,P1583,Male,26-35,28,Married,Mumbai,Central,Engineer,Clothing,8,29501,,
U00084,Emily Brown,P9665,Male,36-45,26,Married,Texas,South,Manager,Furniture,3,39746,,
U00085,Michael Patel,P9678,Female,36-45,20,Single,New York,North,Teacher,Clothing,5,3095,,
U00086,Ali Ahmed,P7002,Male,36-45,27,Married,Makkah,West,Teacher,Sports,10,31182,,
U00087,Mohammed Smith,P3898,Female,18-25,21,Married,Texas,Central,Developer,Sports,9,39098,,
U00088,Daniel Johnson,P5739,Male,18-25,35,Single,Riyadh,North,Teacher,Furniture,7,11907,,
U00089,Mohammed Wilson,P2879,Male,36-45,30,Married,California,North,Sales,Clothing,4,22556,,
U00090,John Smith,P5349,Female,55+,51,Married,Riyadh,North,Developer,Sports,10,36318,,
U00091,Sara Wilson,P1105,Female,55+,43,Single,Dammam,Central,Developer,Groceries,3,23719,,
U00092,John Smith,P5537,Female,26-35,34,Single,Texas,South,Student,Sports,10,19392,,
U00093,Olivia Smith,P4343,Female,46-55,60,Single,Medina,East,Student,Clothing,6,36265,,
U00094,John Lee,P7042,Female,26-35,50,Married,Mumbai,South,Sales,Furniture,10,23124,,
U00095,John Martinez,P3491,Female,46-55,38,Married,Dammam,North,Teacher,Sports,10,14106,,
U00096,Ahmed Johnson,P8036,Female,18-25,52,Married,Mumbai,West,Analyst,Sports,6,4344,,
U00097,Daniel Ahmed,P8432,Female,55+,21,Married,Mumbai,Central,Analyst,Groceries,6,37804,,
U00098,Sophia Ahmed,P5176,Male,18-25,40,Married,Delhi,East,Developer,Clothing,10,31388,,
U00099,Ahmed Martinez,P8950,Male,55+,45,Married,Medina,Central,Developer,Electronics,2,25181,,
U00100,Michael Garcia,P4425,Male,36-45,39,Married,New York,Central,Developer,Sports,4,13190,,
U00101,Daniel Khan,P7394,Male,18-25,42,Single,Texas,East,Manager,Beauty,5,14301,,
U00102,Olivia Ahmed,P8375,Female,55+,31,Married,Jeddah,North,Analyst,Furniture,10,20848,,
U00103,Sophia Ahmed,P1610,Female,36-45,19,Married,Makkah,East,Engineer,Sports,9,29503,,
U00104,Daniel Smith,P9901,Male,26-35,47,Single,California,East,Manager,Clothing,3,11408,,
U00105,Sara Lee,P7607,Female,18-25,28,Single,Texas,East,Developer,Electronics,9,38822,,
U00106,Michael Patel,P8131,Female,18-25,51,Married,Delhi,East,Analyst,Clothing,8,29192,,
U00107,John Wilson,P3979,Female,55+,42,Single,Mumbai,East,Teacher,Furniture,10,41817,,
U00108,David Khan,P9824,Male,26-35,28,Single,Medina,East,Developer,Electronics,5,25294,,
U00109,Emily Wilson,P6998,Male,26-35,28,Married,Mumbai,South,Analyst,Beauty,2,34849,,
U00110,Ali Smith,P5517,Male,26-35,55,Married,Delhi,South,Engineer,Clothing,3,1263,,
U00111,Emily Wilson,P7050,Male,18-25,36,Married,New York,Central,Teacher,Groceries,3,8474,,
U00112,Sara Patel,P2274,Female,46-55,22,Married,California,Central,Student,Furniture,1,6066,,
U00113,Emily Lee,P8787,Female,46-55,33,Single,Riyadh,West,Sales,Furniture,5,48647,,
U00114,Ali Patel,P9895,Male,26-35,58,Married,Dammam,South,Student,Furniture,4,19883,,
U00115,Aisha Khan,P4839,Male,55+,36,Single,Medina,East,Teacher,Furniture,2,35788,,
U00116,Daniel Wilson,P2100,Female,18-25,37,Married,Makkah,West,Developer,Sports,8,23534,,
U00117,Daniel Lee,P8047,Male,26-35,33,Married,Dammam,West,Student,Furniture,5,19313,,
U00118,Olivia Martinez,P9236,Male,36-45,29,Single,Makkah,West,Engineer,Sports,3,13547,,
U00119,Mohammed Martinez,P2634,Female,55+,31,Married,Riyadh,Central,Analyst,Clothing,10,28483,,
U00120,Sara Lee,P3516,Female,26-35,18,Single,Mumbai,South,Engineer,Sports,7,45395,,
U00121,Mohammed Brown,P3229,Female,26-35,33,Single,Riyadh,Central,Engineer,Furniture,9,43403,,
U00122,Emily Garcia,P4149,Female,55+,51,Married,Riyadh,South,Developer,Furniture,7,19638,,
U00123,David Khan,P2393,Female,55+,46,Single,Texas,North,Sales,Beauty,7,34742,,
U00124,Emily Johnson,P7428,Male,36-45,30,Single,California,West,Developer,Electronics,6,46522,,
U00125,Aisha Lee,P1789,Female,36-45,23,Married,Medina,Central,Engineer,Sports,9,44431,,
U00126,Ali Ahmed,P4359,Male,36-45,58,Married,Texas,Central,Analyst,Beauty,5,13716,,
U00127,Sara Khan,P9425,Female,18-25,34,Married,Makkah,Central,Analyst,Electronics,2,23862,,
U00128,Aisha Ahmed,P6502,Male,36-45,53,Married,California,West,Sales,Clothing,3,10681,,
U00129,John Martinez,P1485,Female,46-55,22,Married,Jeddah,West,Engineer,Groceries,1,46349,,
U00130,Ahmed Garcia,P4731,Male,46-55,57,Married,Mumbai,East,Student,Furniture,10,3240,,
U00131,Sophia Johnson,P9079,Male,18-25,40,Married,Medina,South,Teacher,Clothing,4,4654,,
U00132,Ahmed Khan,P2214,Male,55+,23,Married,Texas,South,Manager,Beauty,3,11891,,
U00133,Aisha Johnson,P2529,Male,26-35,53,Single,Makkah,East,Sales,Electronics,8,7706,,
U00134,Daniel Smith,P1876,Female,46-55,21,Single,Jeddah,North,Engineer,Groceries,9,10255,,
U00135,Aisha Garcia,P6616,Female,36-45,24,Married,Jeddah,North,Analyst,Clothing,6,13588,,
U00136,Sara Khan,P3339,Male,26-35,48,Married,Texas,South,Analyst,Furniture,10,36272,,
U00137,Aisha Lee,P3250,Male,36-45,20,Married,Texas,East,Engineer,Beauty,8,23661,,
U00138,Ahmed Ahmed,P9024,Female,18-25,27,Single,Mumbai,North,Engineer,Beauty,10,46774,,
U00139,Sara Lee,P8809,Male,36-45,18,Married,Riyadh,East,Accountant,Clothing,10,34228,,
U00140,Mohammed Ahmed,P4203,Female,46-55,32,Married,Dammam,West,Manager,Sports,6,18900,,
U00141,Ali Ahmed,P4881,Female,46-55,35,Married,New York,Central,Developer,Sports,8,30077,,
U00142,Ali Patel,P5827,Male,18-25,23,Married,Mumbai,South,Developer,Beauty,6,47221,,
U00143,Sophia Patel,P9678,Male,55+,48,Married,Medina,South,Student,Electronics,2,27899,,
U00144,Sara Lee,P6090,Male,18-25,57,Single,Jeddah,West,Accountant,Furniture,5,2861,,
U00145,Olivia Patel,P6593,Female,55+,19,Married,Medina,West,Teacher,Clothing,5,40198,,
U00146,Ahmed Ahmed,P5545,Female,26-35,33,Single,California,South,Teacher,Electronics,5,26560,,
U00147,John Ahmed,P2171,Male,26-35,42,Single,Medina,North,Manager,Furniture,2,10191,,
U00148,Sara Ahmed,P6325,Female,46-55,33,Married,New York,North,Student,Furniture,8,8099,,
U00149,Emily Ahmed,P2654,Female,55+,46,Married,California,East,Teacher,Electronics,1,24382,,
U00150,Emily Garcia,P2010,Female,36-45,51,Single,Makkah,South,Analyst,Electronics,8,17440,,
U00151,Sophia Smith,P3464,Male,55+,23,Single,Mumbai,North,Student,Furniture,7,47045,,
U00152,Mohammed Brown,P7393,Female,55+,24,Single,Medina,East,Teacher,Furniture,7,3252,,
U00153,Aisha Martinez,P6405,Male,55+,56,Married,New York,Central,Manager,Beauty,2,9765,,
U00154,Ali Smith,P4581,Male,46-55,40,Married,Mumbai,North,Sales,Sports,3,47168,,
U00155,Ahmed Ahmed,P2653,Female,36-45,60,Married,California,South,Sales,Clothing,4,31825,,
U00156,David Garcia,P4255,Male,46-55,57,Single,Dammam,Central,Manager,Sports,10,18693,,
U00157,Sophia Khan,P2427,Female,46-55,32,Single,Mumbai,North,Teacher,Beauty,6,12522,,
U00158,Mohammed Garcia,P3356,Male,18-25,22,Single,New York,West,Manager,Electronics,2,47447,,
U00159,Olivia Ahmed,P1583,Female,36-45,60,Single,New York,Central,Manager,Furniture,1,40084,,
U00160,Sophia Patel,P6626,Male,36-45,39,Married,New York,West,Analyst,Groceries,3,1618,,
U00161,Olivia Wilson,P5160,Female,46-55,42,Single,New York,North,Sales,Clothing,2,15984,,
U00162,Emily Patel,P3613,Male,18-25,52,Married,Mumbai,South,Analyst,Electronics,10,40519,,
U00163,Daniel Garcia,P8314,Male,18-25,48,Married,California,South,Engineer,Beauty,7,38614,,
U00164,Sara Wilson,P1130,Male,18-25,53,Married,New York,South,Analyst,Beauty,7,30498,,
U00165,Sophia Khan,P2127,Female,26-35,30,Single,Jeddah,Central,Accountant,Beauty,10,21877,,
U00166,David Lee,P2299,Male,46-55,49,Married,Makkah,North,Analyst,Beauty,2,2909,,
U00167,Ali Johnson,P9032,Female,26-35,34,Married,Riyadh,South,Sales,Furniture,6,19457,,
U00168,Aisha Smith,P2159,Female,46-55,40,Married,Medina,South,Accountant,Beauty,9,47408,,
U00169,Michael Patel,P9133,Male,46-55,29,Single,Texas,Central,Analyst,Groceries,4,41214,,
U00170,Ali Johnson,P6329,Male,18-25,23,Single,New York,North,Manager,Clothing,2,33916,,
U00171,Aisha Khan,P6530,Male,55+,35,Single,California,Central,Accountant,Clothing,1,48224,,
U00172,John Khan,P1045,Female,26-35,24,Married,Riyadh,West,Student,Beauty,8,47910,,
U00173,Olivia Smith,P6287,Male,36-45,55,Married,Delhi,South,Accountant,Electronics,1,3050,,
U00174,Sara Smith,P4265,Male,18-25,27,Married,Makkah,West,Analyst,Groceries,8,20769,,
U00175,Olivia Garcia,P1423,Female,46-55,52,Single,Dammam,North,Accountant,Groceries,1,8435,,
U00176,Daniel Patel,P5357,Male,36-45,38,Single,Dammam,East,Teacher,Groceries,2,29148,,
U00177,Michael Garcia,P7785,Female,26-35,50,Single,Medina,South,Analyst,Electronics,4,24139,,
U00178,David Smith,P5385,Female,46-55,45,Married,Dammam,West,Analyst,Furniture,9,14436,,
U00179,Sophia Khan,P7096,Female,26-35,23,Single,Makkah,Central,Manager,Electronics,1,22718,,
U00180,Emily Wilson,P1828,Male,36-45,53,Married,Jeddah,Central,Analyst,Groceries,8,39172,,
U00181,Sara Garcia,P3581,Male,36-45,56,Single,Riyadh,South,Sales,Sports,8,22307,,
U00182,Daniel Smith,P1113,Male,46-55,35,Married,Makkah,South,Engineer,Sports,4,45190,,
U00183,Ahmed Johnson,P9651,Male,26-35,22,Single,California,Central,Sales,Groceries,3,20608,,
U00184,Emily Martinez,P3425,Male,36-45,57,Single,Jeddah,Central,Analyst,Groceries,4,19427,,
U00185,Aisha Brown,P5142,Female,55+,32,Married,Delhi,South,Sales,Beauty,7,22377,,
U00186,Sophia Ahmed,P9533,Female,26-35,45,Single,Jeddah,East,Manager,Clothing,9,4879,,
U00187,Aisha Smith,P1619,Female,26-35,19,Single,Delhi,East,Engineer,Sports,6,17112,,
U00188,Ali Martinez,P3916,Male,26-35,41,Married,Delhi,Central,Student,Sports,10,18871,,
U00189,Ali Ahmed,P8493,Female,18-25,41,Married,Medina,North,Engineer,Groceries,2,2379,,
U00190,Aisha Lee,P4027,Male,55+,27,Single,Medina,Central,Sales,Clothing,1,41622,,
U00191,David Wilson,P9818,Female,26-35,21,Single,Mumbai,South,Student,Electronics,1,7953,,
U00192,Sophia Martinez,P8144,Female,55+,53,Married,Jeddah,North,Student,Furniture,5,16455,,
U00193,Sara Brown,P4528,Male,18-25,43,Married,Riyadh,West,Student,Groceries,5,10523,,
U00194,Daniel Khan,P9290,Female,26-35,26,Single,Mumbai,South,Teacher,Groceries,4,1845,,
U00195,Ahmed Brown,P5780,Male,55+,44,Single,Medina,Central,Manager,Groceries,9,28921,,
U00196,Sophia Brown,P1750,Male,26-35,38,Married,Medina,North,Accountant,Clothing,2,23971,,
U00197,Emily Ahmed,P1905,Male,18-25,19,Single,Jeddah,East,Developer,Clothing,2,29138,,
U00198,John Lee,P6010,Female,36-45,25,Married,Mumbai,West,Accountant,Furniture,9,5173,,
U00199,Michael Patel,P3068,Male,55+,20,Married,Medina,Central,Accountant,Electronics,3,18606,,
U00200,Ahmed Martinez,P4279,Male,55+,30,Married,Makkah,South,Student,Beauty,5,12287,,
U00201,Aisha Johnson,P6129,Male,18-25,50,Single,Jeddah,South,Student,Groceries,10,12023,,
U00202,Emily Patel,P2801,Male,36-45,31,Single,Dammam,North,Analyst,Sports,3,15648,,
U00203,Aisha Ahmed,P4274,Female,36-45,27,Single,Texas,East,Teacher,Electronics,10,20852,,
U00204,Ali Smith,P9328,Male,26-35,39,Single,Makkah,North,Developer,Groceries,5,43881,,
U00205,Daniel Martinez,P6769,Male,55+,23,Single,California,North,Developer,Sports,4,18414,,
U00206,Mohammed Khan,P2087,Female,18-25,45,Single,Riyadh,Central,Teacher,Beauty,6,48621,,
U00207,Ahmed Brown,P2375,Female,46-55,33,Single,Delhi,North,Sales,Furniture,1,41982,,
U00208,Michael Martinez,P6326,Male,36-45,60,Married,Makkah,West,Teacher,Groceries,7,48238,,
U00209,Sara Martinez,P9420,Male,46-55,34,Single,Delhi,West,Teacher,Groceries,7,45156,,
U00210,Mohammed Martinez,P2645,Male,26-35,32,Single,Jeddah,East,Teacher,Groceries,2,31132,,
U00211,Sophia Lee,P6643,Male,55+,47,Single,Delhi,North,Teacher,Furniture,5,12496,,
U00212,John Khan,P7565,Female,46-55,42,Married,Mumbai,West,Engineer,Beauty,4,46379,,
U00213,Ahmed Smith,P7398,Male,26-35,46,Single,Medina,North,Developer,Groceries,4,4338,,
U00214,David Lee,P2731,Female,36-45,27,Married,Medina,North,Teacher,Sports,10,18279,,
U00215,Michael Smith,P8947,Male,55+,20,Married,Makkah,North,Analyst,Clothing,3,42153,,
U00216,Olivia Khan,P5245,Female,46-55,41,Single,California,West,Developer,Sports,8,13645,,
U00217,Olivia Garcia,P3996,Female,18-25,21,Married,Dammam,Central,Student,Beauty,4,18095,,
U00218,Mohammed Garcia,P2996,Male,36-45,59,Single,California,South,Teacher,Sports,1,14159,,
U00219,Sara Patel,P4911,Female,55+,37,Single,Mumbai,North,Teacher,Clothing,8,22861,,
U00220,Michael Lee,P8663,Male,26-35,33,Single,Riyadh,South,Developer,Clothing,7,39016,,
U00221,Sara Wilson,P5432,Female,26-35,35,Single,Dammam,Central,Student,Furniture,6,4488,,
U00222,Mohammed Khan,P8513,Female,26-35,24,Married,California,West,Engineer,Sports,9,10598,,
U00223,Sophia Wilson,P9444,Female,26-35,60,Single,Jeddah,Central,Accountant,Beauty,4,19718,,
U00224,Ahmed Martinez,P1474,Female,18-25,39,Single,California,Central,Engineer,Beauty,7,31204,,
U00225,Aisha Khan,P2472,Female,46-55,35,Single,Riyadh,South,Student,Sports,4,43878,,
U00226,Ahmed Brown,P1843,Male,18-25,21,Single,Dammam,South,Analyst,Sports,8,42651,,
U00227,Ahmed Khan,P8660,Male,36-45,42,Single,Dammam,West,Engineer,Sports,9,33348,,
U00228,Aisha Johnson,P5548,Female,36-45,54,Married,Dammam,Central,Developer,Groceries,6,21696,,
U00229,Aisha Patel,P7836,Male,36-45,33,Single,Jeddah,West,Student,Groceries,8,27359,,
U00230,Ahmed Garcia,P7268,Male,26-35,47,Single,Texas,East,Student,Electronics,1,40825,,
U00231,Daniel Patel,P5898,Male,36-45,31,Single,Mumbai,Central,Teacher,Clothing,6,25288,,
U00232,Sophia Ahmed,P6286,Female,26-35,49,Married,Riyadh,South,Engineer,Beauty,2,8208,,
U00233,Ali Khan,P6384,Male,26-35,33,Married,Jeddah,North,Sales,Electronics,6,7219,,
U00234,Mohammed Johnson,P7962,Male,18-25,49,Married,Makkah,South,Engineer,Clothing,1,25245,,
U00235,John Garcia,P5873,Male,46-55,55,Single,Jeddah,West,Analyst,Electronics,3,37829,,
U00236,Sophia Khan,P5496,Male,55+,28,Married,Makkah,West,Teacher,Groceries,2,19919,,
U00237,Emily Brown,P5525,Female,26-35,54,Single,Riyadh,North,Accountant,Beauty,9,5595,,
U00238,Mohammed Smith,P3447,Male,18-25,29,Single,Medina,East,Teacher,Electronics,4,37546,,
U00239,Michael Brown,P6993,Female,36-45,29,Married,Medina,West,Manager,Sports,3,33437,,
U00240,Aisha Martinez,P2619,Female,55+,25,Married,Makkah,South,Analyst,Sports,4,49042,,
U00241,David Ahmed,P9305,Male,46-55,30,Married,Makkah,Central,Teacher,Groceries,5,12616,,
U00242,John Garcia,P7990,Female,46-55,46,Single,Makkah,West,Student,Clothing,9,34671,,
U00243,Ali Khan,P9517,Male,46-55,49,Single,Dammam,Central,Manager,Beauty,2,34515,,
U00244,Ahmed Ahmed,P7641,Female,18-25,31,Single,Texas,North,Teacher,Clothing,5,4399,,
U00245,Emily Lee,P7413,Female,46-55,46,Married,California,West,Manager,Groceries,1,24631,,
U00246,Daniel Martinez,P2838,Female,46-55,45,Married,California,North,Teacher,Groceries,8,33654,,
U00247,Mohammed Lee,P3849,Female,26-35,40,Married,Makkah,North,Engineer,Furniture,5,11790,,
U00248,Olivia Johnson,P2105,Female,36-45,32,Married,Dammam,North,Analyst,Furniture,7,39942,,
U00249,Emily Smith,P4872,Female,55+,57,Married,New York,Central,Sales,Furniture,9,14464,,
U00250,Sara Martinez,P8011,Female,36-45,29,Married,Jeddah,North,Sales,Groceries,6,16726,,
U00251,Sara Patel,P9569,Female,46-55,27,Married,Delhi,West,Teacher,Clothing,4,12429,,
U00252,Emily Johnson,P7176,Male,46-55,23,Married,Jeddah,West,Sales,Groceries,2,46242,,
U00253,Emily Brown,P7473,Male,18-25,22,Single,Dammam,West,Accountant,Furniture,4,33053,,
U00254,Sophia Smith,P9588,Male,36-45,43,Single,Riyadh,West,Analyst,Clothing,7,21114,,
U00255,Aisha Khan,P6657,Male,18-25,26,Single,New York,East,Accountant,Furniture,9,48447,,
U00256,David Martinez,P4543,Male,46-55,52,Single,Delhi,West,Teacher,Electronics,5,33036,,
U00257,Olivia Patel,P6104,Female,18-25,43,Single,Delhi,Central,Manager,Beauty,1,12479,,
U00258,Mohammed Garcia,P1346,Female,46-55,41,Single,Medina,East,Accountant,Furniture,4,11112,,
U00259,Olivia Martinez,P7138,Male,18-25,49,Married,Texas,North,Analyst,Beauty,10,33473,,
U00260,Emily Wilson,P8972,Male,36-45,48,Married,New York,West,Developer,Groceries,3,13437,,
U00261,Sara Brown,P8404,Female,46-55,50,Married,Jeddah,Central,Analyst,Sports,10,37779,,
U00262,Ali Garcia,P7636,Female,46-55,43,Single,Jeddah,Central,Engineer,Sports,1,40959,,
U00263,Olivia Johnson,P8945,Male,55+,34,Single,California,South,Sales,Sports,3,18999,,
U00264,Sara Patel,P8998,Female,26-35,32,Single,Medina,Central,Manager,Furniture,2,37839,,
U00265,Ali Patel,P1947,Male,46-55,60,Married,Medina,East,Manager,Sports,5,29353,,
U00266,Michael Wilson,P9617,Female,18-25,22,Single,Dammam,East,Engineer,Beauty,9,49661,,
U00267,Sophia Garcia,P5204,Female,36-45,20,Single,California,East,Accountant,Clothing,3,12403,,
U00268,Ahmed Ahmed,P4128,Male,55+,32,Married,Jeddah,East,Engineer,Sports,1,45370,,
U00269,John Brown,P2100,Female,55+,56,Married,Mumbai,South,Student,Beauty,10,32690,,
U00270,Emily Ahmed,P7959,Male,26-35,28,Single,Riyadh,Central,Teacher,Electronics,8,35425,,
U00271,Emily Lee,P5448,Male,18-25,55,Single,Delhi,East,Accountant,Sports,2,39044,,
U00272,David Khan,P4931,Male,36-45,19,Married,Jeddah,South,Manager,Clothing,7,15310,,
